event_id,event_name_clean,event_name_ascii,category,proximity,status_confidence_raw,start_date,end_date,date_raw_clean,month_section,notes,parse_status
bruno_mars_residency__2026-01-01,Bruno Mars Residency,bruno_mars_residency,Concerts,Strip,Confirmed,2026-01-01,2026-01-01,"Jan 1, 2026 (NYE run)",January 2026,DQ: Single-source (flag for review).,parsed
halloween_party_expo__2026-01-12,Halloween & Party Expo,halloween_party_expo,Conventions,Near-Strip,Confirmed,2026-01-12,2026-01-14,"Jan 12-14, 2026",January 2026,Mid-January,parsed
ppai_expo_2026__2026-01-12,PPAI Expo 2026,ppai_expo_2026,Conventions,Strip,Confirmed,2026-01-12,2026-01-15,"Jan 12-15, 2026",January 2026,Mid-January,parsed
shot_show_2026_shooting_hunting_trade__2026-01-20,SHOT Show 2026 (Shooting/ Hunting Trade),shot_show_2026_shooting_hunting_trade,Conventions,Strip,Confirmed,2026-01-20,2026-01-23,"Jan 20- 23, 2026",January 2026,Outdoor / Retail / Law Enforcement; Outdoor / Retail / Law Enforcement,parsed
world_of_concrete_2026__2026-01-20,World of Concrete 2026,world_of_concrete_2026,Conventions,Strip,Confirmed,2026-01-20,2026-01-22,Jan 20-22 (exhibits),January 2026,Construction / Industrial; Construction / Industrial,parsed
eagles_live_at_sphere_final_shows__2026-01-23,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-01-23,2026-01-23,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-01-24,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-01-24,2026-01-24,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-01-30,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-01-30,2026-01-30,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-01-31,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-01-31,2026-01-31,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-02-20,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-02-20,2026-02-20,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-02-21,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-02-21,2026-02-21,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-02-27,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-02-27,2026-02-27,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-02-28,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-02-28,2026-02-28,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
eagles_live_at_sphere_final_shows__2026-03-20,Eagles - Live at Sphere (final shows),eagles_live_at_sphere_final_shows,Concerts,Strip,Confirmed,2026-03-20,2026-03-20,"Jan 23, 24, 30, 31; Feb 20, 21, 27, 28; Mar 20, 21, 27, 28, 2026",January 2026,DQ: Single-source (flag for review).,parsed
